기업명,상품유형,카테고리그룹,1차카테고리,2차카테고리,상품명,판매단위, 판매가 ,기준일
 건화기업(주),서비스,환경,청소/방역,청소/방역,입주청소,,1000000,2024-04-23
 주식회사 위드마,제품,생활/취미,생활/위생용품,기타 생활/위생용품,휴대용 USB 무릎 패드,1,63900,2024-04-23
 주식회사 위드마,제품,생활/취미,생활/위생용품,기타 생활/위생용품,휴대용 USB 무릎 패드,1세트(10개),40000,2024-04-23
 주식회사 위드마,제품,생활/취미,생활/위생용품,기타 생활/위생용품,휴대용 USB 온열방석,1,44900,2024-04-23
 주식회사 위드마,제품,생활/취미,생활/위생용품,기타 생활/위생용품,휴대용 USB 온열방석,1세트(10개),27000,2024-04-23
 주식회사 위드마,제품,생활/취미,생활/위생용품,기타 생활/위생용품,휴대용 USB 허리패드,1,73900,2024-04-23
 주식회사 위드마,제품,생활/취미,생활/위생용품,기타 생활/위생용품,휴대용 USB 허리패드,1세트(10개),47000,2024-04-23
 주식회사 휴먼앤테크,서비스,기타서비스,기타서비스,기타서비스,퀵서비스,,0,2024-04-23
 주식회사 휴먼앤테크,제품,디지털/가전,디지털/가전,생활가전,부르미 가스자동차단기 똑순이,"1세트(사용설명서,나사2개,브라켓1개,기계본체,건전지4개)",45000,2024-04-23
(농)솔티마을주식회사,제품,식품,가공식품,커피/음료,복숭아사랑,1박스(24파우치),24000,2024-04-23
(사)공간다락,서비스,문화,행사/전시,행사/전시,소공연장 대관,,10,2024-04-23
(사)공간다락,서비스,문화,행사/전시,행사/전시,연희공연,,10,2024-04-23
(사)글로벌투게더김제,제품,식품,가공식품,빵/케이크,[11월 프로모션]우리밀 프리미엄 쿠키 3종 세트 ,1세트,9200,2024-04-23
(사)글로벌투게더김제,제품,식품,가공식품,빵/케이크,[11월 프로모션]우리밀 프리미엄 쿠키 6종 세트 ,1세트,17600,2024-04-23
(사)글로벌투게더김제,제품,식품,가공식품,빵/케이크,우리밀 프리미엄 쿠키 3종 세트 ,1세트 ,18000,2024-04-23
(사)글로벌투게더김제,제품,식품,가공식품,빵/케이크,우리밀 프리미엄 쿠키 3종 세트 ,1세트,18000,2024-04-23
(사)글로벌투게더김제,제품,식품,가공식품,빵/케이크,우리밀 프리미엄 쿠키 6종 세트 ,1세트,35000,2024-04-23
(사)글로벌투게더김제,제품,식품,가공식품,빵/케이크,우리밀 프리미엄 쿠키 6종 세트 ,1세트,35000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 녹차비누(mp),없음,4000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 녹차비누(mp),없음,3400,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 단호박비누(mp),없음,4000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 단호박비누(mp),없음,3400,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 대나무숯비누(mp),없음,4000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 대나무숯비누(mp),없음,3400,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 청대비누(mp),없음,4000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 청대비누(mp),없음,3400,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 클로렐라비누(mp),없음,4000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 클로렐라비누(mp),없음,3400,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 파프리카비누(mp),없음,4000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음 파프리카비누(mp),없음,3400,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음비누 2구 선물세트,없음,8000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음비누 2구 선물세트,없음,6800,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음비누 3구 선물세트,없음,12000,2024-04-23
(사)글로벌투게더음성,제품,생활/취미,욕실용품,세면/구강/욕실용품,이음비누 3구 선물세트,없음,10200,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,빵/케이크,이음원두(에티오피아 예가체프),없음,5500,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,[7월 공공] 이음원두(과테말라 안티구아),없음,4900,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,[7월 안전한먹거리] 이음원두(과테말라 안티구아),없음,5000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,드립커피 티백 2종 선물세트,,16000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,드립커피 티백 3종 선물세트,1세트(드립백3종),23000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,드립커피 티백 5종 선물세트,,36000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,원두선물세트,,29000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음 에스프레소 블랜딩,없음,48000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음드립티백커피세트 2개입,없음,19800,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음드립티백커피세트 5개입,없음,43000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(과테말라 안티구아),없음,5800,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(과테말라 안티구아),없음,5800,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(에스프레소 블랜드),없음,5600,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(에스프레소 블랜드),없음,4080,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(에티오피아 예가체프),없음,5500,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(케냐AA),없음,6700,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(케냐AA),없음,6700,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두(콜롬비아 수프리모),없음,5900,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두드립백세트,없음,28000,2024-04-23
(사)글로벌투게더음성,제품,식품,가공식품,커피/음료,이음원두세트,없음,23000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,냄새잡는 맑은 이엠,1개,5000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,냄새잡는 맑은 이엠,1박스 (32개),3500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,아이엠 천연 탈취제 110ml 2종,1세트(1개),6000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,아이엠 천연 탈취제 110ml 2종,1세트(1개),4800,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,아이엠 천연 탈취제 210ml  2종,1세트(1개),11000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,아이엠 천연 탈취제 210ml  2종,1세트(1개),8800,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,오늘부터 천연 탈취 라벤다향 110ml,1개,3000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,오늘부터 천연 탈취 라벤다향 110ml,1개,2100,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,오늘부터 천연 탈취 라벤다향 210ml,1개,5500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,오늘부터 천연 탈취 라벤다향 210ml,1개,3850,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,오늘부터 천연 탈취 라벤다향 520ml,1개,10900,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,기타 생활/위생용품,오늘부터 천연 탈취제 라벤다향 520ml,1가,7630,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,[2024 설 선물] 종합세트 A,1개,21000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,[2024 설 선물] 종합세트 B,1개,25000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,[2024 설 선물] 주방세제 세트,1개,10000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,[초특가]아이엠 디퓨저,1개,15000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,[초특가]아이엠 좋은 미생물 활성액,1개,2200,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,[초특가]아이엠 천연 탈취제500ml 허브향,1개,9900,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,디퓨저 세트,1개,30000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,슬기로운 이엠생할,1개,2200,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 3종,1개,15000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 3종,1개,10500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 3종,1개,10500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 라벤다향,1개,5000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 라벤다향,1개,3500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 레몬향,1개,5000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 레몬향,1개,3500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 레몬향,1개,3500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 레몬향,1개,5000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 허브향,1개,5000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 허브향,1개,3500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 허브향,1개,3500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 가족향기 허브향,1개,5000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 기획세트 1호,1개,5000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 기획세트 1호,1개,3500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 디퓨저,1개,15000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 디퓨저,1개,10500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 디퓨저,1개,10500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 디퓨저 세트,1개,24000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 좋은 미생물 활성액,1개,1540,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 천연 탈취제 40ml,1개,2000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 천연 탈취제 40ml,1개,1400,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 천연 탈취제 40ml,1개,1400,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,아이엠 천연 탈취제 40ml,1개,2000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘 부터 천연 탈취 장미향 210ml,1개,5500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 장미향 110ml,1개,3000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 장미향 110ml,1개,2100,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 장미향 210ml,1개,3850,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 장미향 520ml,1개,10900,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 장미향 520ml,1개,7630,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 허브향  110ml,1개,3000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 허브향 110ml,1개,2100,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 허브향 210ml,1개,5500,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 허브향 210ml,1개,3850,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 허브향 520ml,1개,10900,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,오늘부터 천연 탈취 허브향 520ml,1개,7630,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,종합세트 A,1개,21000,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,종합세트 A,1개,16800,2024-04-23
(사)담쟁이,제품,생활/취미,생활/위생용품,수납/정리용품,종합세트 B,1개,25000,2024-04-23
